team,xg_diff,shots_diff,passes_diff,highpasses_diff,groundpasses_diff,pressuredpasses_diff,pass_length_diff,crosses_diff,dribbles_diff,tackles_diff,tackles_success_diff,interceptions_diff,pressures_diff,blocks_diff,fouls_diff,counterattacks_diff,passes_att3rd_diff,passes_scorebox_diff,vertical_passing_dist_diff,actions_scorebox_diff,goals_diff,points,competition,rank,rank_category,outcome_ordered
Stade de Reims,-5.993058752999998,-15,-1991,117,-1941,-296,-28539.51218530001,-22,-21,0,31,24,13,68,12,-201,-19,26,-5078.099999999996,-32,-13,39,Ligue 1,18,relegation,0
Gazélec Ajaccio,-7.7982040874,16,-2474,693,-3122,-72,-17547.572549339995,7,-305,212,115,85,852,-74,186,-166,159,-11,6536.499999999998,-133,-22,34,Ligue 1,19,relegation,0
Troyes,-38.3326848352,-189,-2033,-449,-1595,-377,-24574.250196650006,-246,-98,102,49,5,538,80,50,-127,-117,-336,-4063.899999999999,-1139,-53,18,Ligue 1,20,relegation,0
Leicester City,20.1486198353,8,-5365,47,-4622,-372,-97643.13095697999,-60,15,125,84,68,946,263,22,155,100,-154,-10226.399999999998,-282,32,81,Premier League,1,CL,3
Arsenal,31.561440005199998,127,5974,-128,5562,526,76750.68169908,15,109,-62,-34,-8,-1209,-79,-139,104,332,319,16841.8,1322,29,71,Premier League,2,CL,3
Tottenham Hotspur,26.7949833218,228,4959,-192,5023,74,91874.00634314,43,57,-68,-23,-78,-261,-42,20,101,367,155,11593.399999999998,480,34,70,Premier League,3,CL,3
Manchester United,3.6798391681999996,16,6230,32,5592,641,107307.60262309999,164,39,-49,-40,-36,-606,-177,86,25,344,226,14379.499999999996,585,14,66,Premier League,4,CL,3
Manchester City,25.496121304200003,271,5494,-322,5590,718,79300.04502559,167,-13,-53,-1,-23,-1171,-251,3,169,337,285,9171.600000000004,1504,30,66,Premier League,5,EL,2
Southampton,14.472934909700001,56,-501,443,-1191,20,1585.7327608300002,158,-83,76,51,-6,175,-9,53,226,191,293,3768.5999999999995,569,18,63,Premier League,6,EL,2
West Ham United,0.2591020338999994,29,-1292,29,-1254,128,-17709.944148470004,-11,22,-46,-45,60,-468,0,-90,-24,-249,-60,-4179.100000000003,-392,14,62,Premier League,7,EL,2
Liverpool,20.346083495400002,230,5086,-142,5006,-254,73047.15901177,151,-75,-1,6,-59,694,-128,25,206,111,426,6964.5999999999985,1172,13,60,Premier League,8,middle,1
Stoke City,-14.8676917649,-114,-436,91,-405,-304,14243.681773959994,-77,-1,41,2,150,305,72,23,-156,87,-217,10350.499999999996,-808,-14,51,Premier League,9,middle,1
Chelsea,5.611051745199999,42,4322,-285,4188,140,57112.99252792001,37,6,67,26,-79,-488,-2,-115,100,226,267,5138.499999999999,1044,6,50,Premier League,10,middle,1
Swansea City,-8.5936134087,-78,1701,-349,1724,533,30859.027958309995,-60,-7,-41,-22,-72,-771,49,-69,-168,-44,-176,4504.6,-553,-10,47,Premier League,11,middle,1
Everton,-3.793660155200001,-59,1420,-116,1348,87,35932.83827929,-72,38,-12,7,-57,-254,44,-117,106,-54,-166,11867.000000000007,-431,4,47,Premier League,12,middle,1
Watford,-9.329761640600001,-63,-3594,274,-3278,-336,-68879.38773976,-188,-143,99,70,-54,479,59,70,-95,2,-267,-9973.3,-438,-10,45,Premier League,13,middle,1
West Bromwich Albion,-10.0712805523,-161,-7097,308,-7016,-526,-105848.17694897001,-73,-155,62,8,-7,759,130,-2,-114,-14,-100,-11733.500000000002,-691,-14,43,Premier League,14,middle,1
Crystal Palace,-10.4175265088,-93,-2962,489,-3385,-124,-32773.67644822,60,141,-159,-88,160,169,-16,44,-138,-15,-27,2635.800000000003,-303,-12,42,Premier League,15,middle,1
AFC Bournemouth,-6.352217293300001,38,953,-328,936,-180,-169.44768608999948,23,56,-132,-88,-96,-231,-109,-38,8,-245,34,-13431.799999999997,207,-22,42,Premier League,16,middle,1
Sunderland,-18.7265578105,-133,-6136,18,-5675,-592,-86297.4687829,-191,-187,163,120,56,1238,106,15,-147,-253,-183,-13175.100000000002,-733,-14,39,Premier League,17,middle,1
Newcastle United,-15.640630555699998,-154,-2862,-63,-2516,-190,-51054.65786848,-71,13,26,-19,112,333,14,52,22,-566,-330,-12194.099999999999,-940,-21,37,Premier League,18,relegation,0
Norwich City,-20.5141856285,-75,-2963,13,-2828,171,-55213.790526829995,-12,-33,-27,-19,-74,-152,-73,98,-174,-309,-129,-9330.600000000002,-495,-28,34,Premier League,19,relegation,0
Aston Villa,-30.0630505004,-115,-2931,181,-2799,-160,-52424.08689629,-3,201,-9,5,43,513,149,59,-206,-348,-196,-12971.999999999998,-817,-49,17,Premier League,20,relegation,0
Juventus,39.2354254883,259,4271,209,3811,854,81541.78594104,207,259,-143,-52,-13,-1695,-21,-71,167,303,325,8057.599999999995,1285,55,91,Serie A,1,CL,3
Napoli,36.356046623699996,316,10788,-494,10366,1214,122545.62196824,215,-44,-1,24,-270,-1823,-166,-93,55,842,669,16775.399999999998,1402,48,82,Serie A,2,CL,3
AS Roma,20.8341304181,153,5387,379,4561,472,92511.95887670001,137,118,-131,-54,-8,-835,-68,22,-67,340,315,19550.399999999998,1178,42,80,Serie A,3,CL,3
Inter Milan,7.278648530300001,54,3298,42,2810,380,56170.057308970005,155,5,58,1,-71,-486,-111,-40,-6,105,75,7128.4000000000015,299,12,67,Serie A,4,CL,3
Fiorentina,18.556366497,230,8171,-337,8120,736,143839.50654138002,-22,3,-61,-77,-48,-1728,-59,-114,133,421,150,24622.9,379,18,64,Serie A,5,EL,2
Sassuolo,3.6571859876000006,12,765,-62,866,-63,10305.89389097,29,-4,-96,-67,4,-277,-69,-86,-184,105,-32,346.8000000000011,-103,9,61,Serie A,6,EL,2
AC Milan,15.0096552884,102,1570,-121,1714,421,26618.736157030005,24,136,-29,3,-8,-915,-32,-23,-55,152,175,651.1000000000022,573,6,57,Serie A,7,EL,2
Lazio,6.416833672800001,88,3252,131,2948,330,54891.633519780014,263,58,-9,10,-17,-149,-114,97,-93,198,411,-746.9000000000001,979,0,54,Serie A,8,middle,1
Chievo,-11.7109203067,-173,-3619,158,-3554,-485,-57053.37691534,-140,-180,69,49,1,1144,117,90,86,-68,-146,-5470.600000000001,-675,-2,50,Serie A,9,middle,1
Empoli,-7.7693841031,-50,1862,-1091,2814,682,-24604.92956044,-232,111,-169,-143,-63,-1304,-48,-228,28,76,-156,-15727.399999999998,-175,-9,46,Serie A,10,middle,1
Genoa,-3.0203933943999997,-42,-356,-226,158,-294,-9209.67153833,-45,-6,-27,-14,0,200,0,48,-122,-262,-182,-8538.3,-415,-3,46,Serie A,11,middle,1
Atalanta,-5.704021432299999,-4,-1521,321,-1671,-136,-11048.695157370003,124,-192,213,129,80,549,-70,29,-17,-322,-50,4232.400000000001,-139,-6,45,Serie A,12,middle,1
Torino,8.203147264599998,26,-1836,218,-2002,-291,-825.7965237600056,71,129,105,62,102,686,-11,150,136,-434,54,-3319.3999999999974,173,-3,45,Serie A,13,middle,1
Bologna,-19.2609025181,-92,-3262,-262,-2929,-333,-54458.680602,-174,-9,-44,-45,53,452,58,-13,25,-241,-264,-9305.2,-533,-12,42,Serie A,14,middle,1
Sampdoria,-23.157860774699998,-170,-534,-86,-238,69,2809.047410229993,-249,-45,43,8,-7,-64,97,-14,-95,-85,-421,9426.499999999998,-999,-13,40,Serie A,15,middle,1
Palermo,-21.4548836004,-202,-5474,297,-5454,-313,-93183.26672044,-81,27,-146,-101,-8,578,83,46,-40,-372,-275,-13214.099999999999,-763,-27,39,Serie A,16,middle,1
Udinese,-2.5339656856999997,-83,-4004,305,-3871,-313,-56502.46450323001,21,-4,5,0,58,1004,83,22,15,-180,-35,-6672.899999999998,-452,-25,39,Serie A,17,middle,1
Carpi,-8.412365943000001,-79,-8425,-106,-7825,-1458,-140538.77230692998,-132,-190,222,137,101,2439,119,81,189,-207,-309,-18331.300000000003,-438,-20,38,Serie A,18,relegation,0
Frosinone,-37.199693764799996,-286,-6959,133,-6688,-962,-105964.72420436,-235,-102,20,35,92,1441,199,39,33,-212,-403,-11054.699999999997,-1441,-41,31,Serie A,19,relegation,0
Hellas Verona,-15.3230482476,-59,-3374,592,-3936,-510,-37843.86358214,64,-70,121,95,22,783,13,58,-188,-159,99,1589.2999999999993,-135,-29,28,Serie A,20,relegation,0
