match_id,match_outcome,competition,home_team,home_goals,home_xg,home_shots,home_passes,home_pressuredpasses,home_pressureddribbles,home_highpasses,home_groundpasses,home_pass_length,home_crosses,home_dribbles,home_tackles,home_tackles_success,home_interceptions,home_pressures,home_blocks,home_fouls,home_counterattacks,home_passes_att3rd,home_passes_scorebox,home_vertical_passing_dist,home_actions_scorebox,away_team,away_goals,away_xg,away_shots,away_passes,away_pressuredpasses,away_pressureddribbles,away_highpasses,away_groundpasses,away_pass_length,away_crosses,away_dribbles,away_tackles,away_tackles_success,away_interceptions,away_pressures,away_blocks,away_fouls,away_counterattacks,away_passes_att3rd,away_passes_scorebox,away_vertical_passing_dist,away_actions_scorebox,xg_diff,shots_diff,passes_diff,highpasses_diff,groundpasses_diff,pressuredpasses_diff,pass_length_diff,crosses_diff,dribbles_diff,tackles_diff,tackles_success_diff,interceptions_diff,pressures_diff,blocks_diff,fouls_diff,counterattacks_diff,passes_att3rd_diff,passes_scorebox_diff,vertical_passing_dist_diff,actions_scorebox_diff,goals_diff,home_xg_scaled,away_xg_scaled,home_shots_scaled,away_shots_scaled,home_passes_scaled,away_passes_scaled,home_highpasses_scaled,away_highpasses_scaled,home_groundpasses_scaled,away_groundpasses_scaled,home_pressuredpasses_scaled,away_pressuredpasses_scaled,home_pass_length_scaled,away_pass_length_scaled,home_crosses_scaled,away_crosses_scaled,home_dribbles_scaled,away_dribbles_scaled,home_tackles_scaled,away_tackles_scaled,home_tackles_success_scaled,away_tackles_success_scaled,home_interceptions_scaled,away_interceptions_scaled,home_pressures_scaled,away_pressures_scaled,home_blocks_scaled,away_blocks_scaled,home_fouls_scaled,away_fouls_scaled,home_counterattacks_scaled,away_counterattacks_scaled,home_passes_att3rd_scaled,away_passes_att3rd_scaled,home_passes_scorebox_scaled,away_passes_scorebox_scaled,home_vertical_passing_dist_scaled,away_vertical_passing_dist_scaled,home_actions_scorebox_scaled,away_actions_scorebox_scaled,outcome_ordered
3829470,home_win,Ligue 1,Saint-Étienne,2,1.3306491440000001,13,512,112,22,119,342,11688.7558557,8,22,23,18,6,199,28,12,13,66,28,6393.9,76,Nantes,0,0.420787003,11,474,123,19,145,261,11186.14604103,23,19,32,14,10,212,16,11,9,67,50,6191.400000000001,96,0.9098621410000001,2,38,-26,81,-11,502.60981466999874,-15,3,-9,4,-4,-13,12,1,4,-1,-22,202.4999999999991,-20,2,1.3306491440000001,0.420787003,13.0,11.0,51.2,47.4,11.9,14.5,34.2,26.1,11.2,12.3,11.688755855699998,11.18614604103,8.0,23.0,22.0,19.0,23.0,32.0,18.0,14.0,6.0,10.0,199.0,212.0,2.8,1.6,12.0,11.0,13.0,9.0,66.0,67.0,28.0,50.0,6393.9,6191.400000000001,0.076,0.096,2
3901259,draw,Ligue 1,Troyes,1,0.97729528,9,494,62,21,96,351,9642.8455786,12,21,32,23,9,166,22,9,18,41,21,5113.2,66,Marseille,1,2.512848477,18,672,93,28,115,515,13015.0110716,27,28,22,16,13,191,17,8,42,79,51,5790.4,142,-1.535553197,-9,-178,-19,-164,-31,-3372.1654930000004,-15,-7,10,7,-4,-25,5,1,-24,-38,-30,-677.1999999999998,-76,0,0.97729528,2.512848477,9.0,18.0,49.4,67.2,9.6,11.5,35.1,51.5,6.2,9.3,9.6428455786,13.0150110716,12.0,27.0,21.0,28.0,32.0,22.0,23.0,16.0,9.0,13.0,166.0,191.0,2.2,1.7,9.0,8.0,18.0,42.0,41.0,79.0,21.0,51.0,5113.2,5790.4,0.066,0.142,1
3901263,away_win,Ligue 1,Rennes,1,1.628039856,17,564,90,20,104,377,11520.5067647,21,20,11,9,18,97,16,7,5,73,54,5263.3,80,Bastia,2,1.037246666,9,411,40,10,116,251,10317.9817083,9,10,20,11,12,173,19,20,26,40,21,5811.900000000001,40,0.5907931900000001,8,153,-12,126,50,1202.5250563999998,12,10,-9,-2,6,-76,-3,-13,-21,33,33,-548.6000000000004,40,-1,1.628039856,1.037246666,17.0,9.0,56.4,41.1,10.4,11.6,37.7,25.1,9.0,4.0,11.5205067647,10.3179817083,21.0,9.0,20.0,10.0,11.0,20.0,9.0,11.0,18.0,12.0,97.0,173.0,1.6,1.9,7.0,20.0,5.0,26.0,73.0,40.0,54.0,21.0,5263.3,5811.900000000001,0.08,0.04,0
3900594,draw,Ligue 1,Nantes,2,0.992589752,9,342,106,11,140,146,8256.8393683,6,11,26,12,14,165,22,19,15,42,19,5295.1,45,Bordeaux,2,0.733941045,8,569,99,22,128,356,11959.6357059,11,22,16,11,7,160,19,12,3,60,27,5472.3,56,0.258648707,1,-227,12,-210,7,-3702.7963376000007,-5,-11,10,1,7,5,3,7,12,-18,-8,-177.19999999999982,-11,0,0.992589752,0.733941045,9.0,8.0,34.2,56.9,14.0,12.8,14.6,35.6,10.6,9.9,8.2568393683,11.9596357059,6.0,11.0,11.0,22.0,26.0,16.0,12.0,11.0,14.0,7.0,165.0,160.0,2.2,1.9,19.0,12.0,15.0,3.0,42.0,60.0,19.0,27.0,5295.1,5472.3,0.045,0.056,1
3900587,home_win,Ligue 1,Saint-Étienne,1,0.5948685893,9,276,53,6,106,123,6980.9767181,4,6,15,10,17,250,28,27,15,46,15,4777.0,31,Lyon,0,1.1171413970000001,19,626,128,24,103,464,13264.0922354,13,24,14,6,5,130,25,13,4,59,38,5588.9,88,-0.5222728077000002,-10,-350,3,-341,-75,-6283.1155173,-9,-18,1,4,12,120,3,14,11,-13,-23,-811.8999999999996,-57,1,0.5948685893,1.1171413970000001,9.0,19.0,27.6,62.6,10.6,10.3,12.3,46.4,5.3,12.8,6.9809767181,13.2640922354,4.0,13.0,6.0,24.0,15.0,14.0,10.0,6.0,17.0,5.0,250.0,130.0,2.8,2.5,27.0,13.0,15.0,4.0,46.0,59.0,15.0,38.0,4777.0,5588.9,0.031,0.088,2
3900541,away_win,Ligue 1,Bastia,1,0.28577411799999997,5,464,117,8,133,240,10946.2745823,13,8,22,18,6,217,21,14,9,57,21,5875.3,27,AS Monaco,2,2.3787002337,7,448,90,26,128,253,10087.7744308,8,26,12,8,6,188,23,14,8,65,31,5533.900000000001,65,-2.0929261157,-2,16,5,-13,27,858.5001515000004,5,-18,10,10,0,29,-2,0,1,-8,-10,341.39999999999964,-38,-1,0.28577411799999997,2.3787002337,5.0,7.0,46.4,44.8,13.3,12.8,24.0,25.3,11.7,9.0,10.946274582300001,10.0877744308,13.0,8.0,8.0,26.0,22.0,12.0,18.0,8.0,6.0,6.0,217.0,188.0,2.1,2.3,14.0,14.0,9.0,8.0,57.0,65.0,21.0,31.0,5875.3,5533.900000000001,0.027,0.065,0
3900596,home_win,Ligue 1,Guingamp,1,1.8662321130000001,16,568,68,13,145,343,12115.5961705,27,13,20,15,3,99,7,6,7,75,47,5628.6,60,Bastia,0,0.168572919,4,369,56,15,119,200,9042.2664171,6,15,17,8,10,152,26,19,8,42,10,5645.3,13,1.697659194,12,199,26,143,12,3073.329753400001,21,-2,3,7,-7,-53,-19,-13,-1,33,37,-16.699999999999818,47,1,1.8662321130000001,0.168572919,16.0,4.0,56.8,36.9,14.5,11.9,34.3,20.0,6.8,5.6,12.115596170500002,9.0422664171,27.0,6.0,13.0,15.0,20.0,17.0,15.0,8.0,3.0,10.0,99.0,152.0,0.7,2.6,6.0,19.0,7.0,8.0,75.0,42.0,47.0,10.0,5628.6,5645.3,0.06,0.013,2
3900591,home_win,Ligue 1,Paris Saint-Germain,5,2.2071510903,16,946,48,9,51,821,16676.98885885,8,9,23,15,13,181,18,8,10,70,19,5781.7,45,Angers,1,0.4221883733,11,420,96,16,80,297,8290.4878084,4,16,19,12,25,218,10,11,0,41,10,4277.2,23,1.784962717,5,526,-29,524,-48,8386.50105045,4,-7,4,3,-12,-37,8,-3,10,29,9,1504.5,22,4,2.2071510903,0.4221883733,16.0,11.0,94.6,42.0,5.1,8.0,82.1,29.7,4.8,9.6,16.67698885885,8.2904878084,8.0,4.0,9.0,16.0,23.0,19.0,15.0,12.0,13.0,25.0,181.0,218.0,1.8,1.0,8.0,11.0,10.0,0.0,70.0,41.0,19.0,10.0,5781.7,4277.2,0.045,0.023,2
3901188,home_win,Ligue 1,Saint-Étienne,3,2.048434713,9,396,83,10,138,210,9499.4678327,15,10,26,19,15,208,26,16,9,65,39,5668.099999999999,62,Montpellier,0,0.511360719,7,529,72,13,114,352,11099.7964433,11,13,20,13,11,170,19,14,17,52,33,5626.6,80,1.5370739939999998,2,-133,24,-142,11,-1600.3286105999996,4,-3,6,6,4,38,7,2,-8,13,6,41.49999999999909,-18,3,2.048434713,0.511360719,9.0,7.0,39.6,52.9,13.8,11.4,21.0,35.2,8.3,7.2,9.4994678327,11.099796443299999,15.0,11.0,10.0,13.0,26.0,20.0,19.0,13.0,15.0,11.0,208.0,170.0,2.6,1.9,16.0,14.0,9.0,17.0,65.0,52.0,39.0,33.0,5668.099999999999,5626.6,0.062,0.08,2
3901184,away_win,Ligue 1,Marseille,2,1.4260023285,14,668,34,20,107,494,12293.2274504,20,20,23,13,11,171,23,13,22,67,41,4862.0,107,Rennes,5,1.46998034,13,421,90,19,90,291,8842.9915398,7,19,25,19,14,177,31,18,28,34,10,4819.9,32,-0.043978011499999914,1,247,17,203,-56,3450.2359106000004,13,1,-2,-6,-3,-6,-8,-5,-6,33,31,42.100000000000364,75,-3,1.4260023285,1.46998034,14.0,13.0,66.8,42.1,10.7,9.0,49.4,29.1,3.4,9.0,12.2932274504,8.8429915398,20.0,7.0,20.0,19.0,23.0,25.0,13.0,19.0,11.0,14.0,171.0,177.0,2.3,3.1,13.0,18.0,22.0,28.0,67.0,34.0,41.0,10.0,4862.0,4819.9,0.107,0.032,0
