match_id,scoreline_id,home_score,away_score,scoreline,match_status,next_goal,home_team,away_team,home_goals_ft,away_goals_ft,match_outcome,match_week,duration_s,home_xg,away_xg,home_passes,away_passes,home_highpasses,away_highpasses,home_groundpasses,away_groundpasses,home_pressuredpasses,away_pressuredpasses,home_crosses,away_crosses,home_dribbles,away_dribbles,home_shots,away_shots,home_pass_length,away_pass_length,home_tackles,away_tackles,home_tackles_success,away_tackles_success,home_interceptions,away_interceptions,home_pressures,away_pressures,home_blocks,away_blocks,home_fouls,away_fouls,home_counterattacks,away_counterattacks,home_passes_att3rd,away_passes_att3rd,home_passes_scorebox,away_passes_scorebox,home_vertical_passing_dist,away_vertical_passing_dist,home_actions_scorebox,away_actions_scorebox,home_xg_90,away_xg_90,home_shots_90,away_shots_90,home_passes_90,away_passes_90,home_highpasses_90,away_highpasses_90,home_groundpasses_90,away_groundpasses_90,home_pressuredpasses_90,away_pressuredpasses_90,home_pass_length_90,away_pass_length_90,home_crosses_90,away_crosses_90,home_dribbles_90,away_dribbles_90,home_tackles_90,away_tackles_90,home_tackles_success_90,away_tackles_success_90,home_interceptions_90,away_interceptions_90,home_pressures_90,away_pressures_90,home_blocks_90,away_blocks_90,home_fouls_90,away_fouls_90,home_counterattacks_90,away_counterattacks_90,home_passes_att3rd_90,away_passes_att3rd_90,home_passes_scorebox_90,away_passes_scorebox_90,home_vertical_passing_dist_90,away_vertical_passing_dist_90,home_actions_scorebox_90,away_actions_scorebox_90,home_xg_90_scaled,away_xg_90_scaled,home_shots_90_scaled,away_shots_90_scaled,home_passes_90_scaled,away_passes_90_scaled,home_highpasses_90_scaled,away_highpasses_90_scaled,home_groundpasses_90_scaled,away_groundpasses_90_scaled,home_pressuredpasses_90_scaled,away_pressuredpasses_90_scaled,home_pass_length_90_scaled,away_pass_length_90_scaled,home_crosses_90_scaled,away_crosses_90_scaled,home_dribbles_90_scaled,away_dribbles_90_scaled,home_tackles_90_scaled,away_tackles_90_scaled,home_tackles_success_90_scaled,away_tackles_success_90_scaled,home_interceptions_90_scaled,away_interceptions_90_scaled,home_pressures_90_scaled,away_pressures_90_scaled,home_blocks_90_scaled,away_blocks_90_scaled,home_fouls_90_scaled,away_fouls_90_scaled,home_counterattacks_90_scaled,away_counterattacks_90_scaled,home_passes_att3rd_90_scaled,away_passes_att3rd_90_scaled,home_passes_scorebox_90_scaled,away_passes_scorebox_90_scaled,home_vertical_passing_dist_90_scaled,away_vertical_passing_dist_90_scaled,home_actions_scorebox_90_scaled,away_actions_scorebox_90_scaled,outcome_ordered,xg_diff,shots_diff,passes_diff,highpasses_diff,groundpasses_diff,pressuredpasses_diff,pass_length_diff,crosses_diff,dribbles_diff,tackles_diff,tackles_success_diff,interceptions_diff,pressures_diff,blocks_diff,fouls_diff,counterattacks_diff,passes_att3rd_diff,passes_scorebox_diff,vertical_passing_dist_diff,actions_scorebox_diff
3890259,1,0,0,0,draw,home,Bayern Munich,Hamburger SV,5,0,home_win,1,1585.84,0.399615233,0.04022602,254.0,75.0,27.0,29.0,195.0,34.0,44.0,20.0,5.0,0.0,1.0,1.0,4.0,1.0,5260.0813678,1973.2915972,4.0,4.0,1.0,1.0,1.0,2.0,30.0,65.0,2.0,4.0,4.0,3.0,3.0,2.0,28.0,14.0,11.0,5.0,1714.0,1329.0,22.0,12.0,1.3607439957372751,0.1369750466629672,13.620541794884732,3.405135448721184,864.9044039751805,255.3851586540887,91.93865711547194,98.7489280129143,664.0014125006306,115.7746052565202,149.82595974373206,68.10270897442365,17911.289528653582,6719.325168289361,17.025677243605912,0.0,3.405135448721184,3.405135448721184,13.620541794884732,13.620541794884732,3.405135448721184,3.405135448721184,3.405135448721184,6.810270897442367,102.15406346163547,221.3338041668769,6.810270897442367,13.620541794884732,13.620541794884732,10.21540634616355,10.21540634616355,6.810270897442367,95.34379256419312,47.67189628209656,37.45648993593301,17.025677243605912,5836.402159108106,4525.425011350452,74.91297987186603,40.8616253846542,1.3607439957372751,0.1369750466629672,13.620541794884732,3.405135448721184,86.49044039751804,25.538515865408872,9.193865711547192,9.87489280129143,66.40014125006306,11.57746052565202,14.982595974373206,6.810270897442365,17.911289528653583,6.719325168289361,17.025677243605912,0.0,3.405135448721184,3.405135448721184,13.620541794884732,13.620541794884732,3.405135448721184,3.405135448721184,3.405135448721184,6.810270897442367,102.15406346163547,221.3338041668769,0.6810270897442366,1.3620541794884733,13.620541794884732,10.21540634616355,10.21540634616355,6.810270897442367,95.34379256419312,47.67189628209656,37.45648993593301,17.025677243605912,5836.402159108106,4525.425011350452,0.074912979871866,0.0408616253846541,2,0.35938921300000004,3.0,179.0,-2.0,161.0,24.0,3286.7897706000003,5.0,0.0,0.0,0.0,-1.0,-35.0,-2.0,1.0,1.0,14.0,6.0,385.0,10.0
3890259,2,1,0,1,home_leading,home,Bayern Munich,Hamburger SV,5,0,home_win,1,1600.744,0.6622299628,0.0189664835,212.0,64.0,18.0,27.0,178.0,29.0,26.0,7.0,2.0,1.0,4.0,0.0,6.0,2.0,4297.7199092,1664.5759137,0.0,2.0,0.0,1.0,1.0,1.0,18.0,55.0,2.0,2.0,1.0,8.0,10.0,2.0,22.0,9.0,14.0,3.0,1450.1,1128.4,35.0,6.0,2.2339873203460394,0.0639821301219932,20.240588126521168,6.74686270884039,715.1674471370814,215.89960668289248,60.72176437956351,91.08264656934526,600.4707810867947,97.82950927818564,87.70921521492507,23.61401948094137,14498.063094211191,5615.3325790882245,6.74686270884039,3.373431354420195,13.49372541768078,0.0,0.0,6.74686270884039,0.0,3.373431354420195,3.373431354420195,3.373431354420195,60.72176437956351,185.53872449311072,6.74686270884039,6.74686270884039,3.373431354420195,26.98745083536156,33.73431354420195,6.74686270884039,74.21548979724429,30.360882189781755,47.22803896188273,10.120294063260584,4891.812807044725,3806.579940327748,118.0700974047068,20.240588126521168,2.2339873203460394,0.0639821301219932,20.240588126521168,6.74686270884039,71.51674471370814,21.589960668289248,6.072176437956351,9.108264656934526,60.04707810867946,9.782950927818565,8.770921521492507,2.3614019480941364,14.498063094211194,5.615332579088225,6.74686270884039,3.373431354420195,13.49372541768078,0.0,0.0,6.74686270884039,0.0,3.373431354420195,3.373431354420195,3.373431354420195,60.72176437956351,185.53872449311072,0.674686270884039,0.674686270884039,3.373431354420195,26.98745083536156,33.73431354420195,6.74686270884039,74.21548979724429,30.360882189781755,47.22803896188273,10.120294063260584,4891.812807044725,3806.579940327748,0.1180700974047068,0.0202405881265211,2,0.6432634793,4.0,148.0,-9.0,149.0,19.0,2633.1439955,1.0,4.0,-2.0,-1.0,0.0,-37.0,0.0,-7.0,8.0,13.0,11.0,321.6999999999998,29.0
3890259,3,2,0,2,home_leading,home,Bayern Munich,Hamburger SV,5,0,home_win,1,965.5109999999996,0.3446895476,0.019396784,147.0,58.0,23.0,16.0,115.0,32.0,31.0,6.0,4.0,1.0,9.0,2.0,5.0,1.0,2865.9879268,1365.3498497,5.0,9.0,4.0,5.0,3.0,4.0,18.0,64.0,3.0,5.0,1.0,1.0,3.0,4.0,16.0,8.0,4.0,1.0,981.7,895.8,26.0,3.0,1.927811860289527,0.1084841432153544,27.96446648458693,5.592893296917387,822.1553146468559,324.38781122120844,128.6365458290999,89.48629275067819,643.1827291454995,178.97258550135638,173.379692204439,33.557359781504324,16029.16466484588,7636.256022334292,22.371573187669547,5.592893296917387,50.33603967225648,11.185786593834774,27.96446648458693,50.33603967225648,22.371573187669547,27.96446648458693,16.778679890752162,22.371573187669547,100.67207934451297,357.94517100271275,16.778679890752162,27.96446648458693,5.592893296917387,5.592893296917387,16.778679890752162,22.371573187669547,89.48629275067819,44.74314637533909,22.371573187669547,5.592893296917387,5490.543349583799,5010.113815378595,145.41522571985206,16.778679890752162,1.927811860289527,0.1084841432153544,27.96446648458693,5.592893296917387,82.2155314646856,32.438781122120844,12.86365458290999,8.94862927506782,64.31827291454995,17.89725855013564,17.337969220443902,3.3557359781504323,16.02916466484588,7.636256022334292,22.371573187669547,5.592893296917387,50.33603967225648,11.185786593834774,27.96446648458693,50.33603967225648,22.371573187669547,27.96446648458693,16.778679890752162,22.371573187669547,100.67207934451297,357.94517100271275,1.6778679890752162,2.7964466484586934,5.592893296917387,5.592893296917387,16.778679890752162,22.371573187669547,89.48629275067819,44.74314637533909,22.371573187669547,5.592893296917387,5490.543349583799,5010.113815378595,0.145415225719852,0.0167786798907521,2,0.3252927636,4.0,89.0,7.0,83.0,25.0,1500.6380771,3.0,7.0,-4.0,-1.0,-1.0,-46.0,-2.0,0.0,-1.0,8.0,3.0,85.90000000000009,23.0
3890259,4,3,0,3,home_leading,home,Bayern Munich,Hamburger SV,5,0,home_win,1,246.67099999999937,0.47292399,0.0052459883,27.0,12.0,8.0,3.0,17.0,8.0,8.0,1.0,2.0,0.0,2.0,3.0,2.0,1.0,534.9220462000001,334.159063,1.0,1.0,0.0,1.0,0.0,0.0,7.0,11.0,0.0,1.0,0.0,0.0,10.0,4.0,2.0,1.0,3.0,0.0,238.5,200.6,10.0,0.0,10.353018984801643,0.114842591224749,43.7830146227162,21.891507311358097,591.0706974066686,262.6980877362972,175.13205849086478,65.67452193407429,372.1556242930876,175.13205849086478,175.13205849086478,21.891507311358097,11710.249885393936,7315.245570821071,43.7830146227162,0.0,43.7830146227162,65.67452193407429,21.891507311358097,21.891507311358097,0.0,21.891507311358097,0.0,0.0,153.2405511795067,240.80658042493903,0.0,21.891507311358097,0.0,0.0,218.91507311358097,87.56602924543239,43.7830146227162,21.891507311358097,65.67452193407429,0.0,5221.124493758906,4391.436366658434,218.91507311358097,0.0,10.353018984801643,0.114842591224749,43.7830146227162,21.891507311358097,59.10706974066686,26.26980877362972,17.51320584908648,6.567452193407429,37.21556242930876,17.51320584908648,17.51320584908648,2.18915073113581,11.710249885393935,7.315245570821071,43.7830146227162,0.0,43.7830146227162,65.67452193407429,21.891507311358097,21.891507311358097,0.0,21.891507311358097,0.0,0.0,153.2405511795067,240.80658042493903,0.0,2.18915073113581,0.0,0.0,218.91507311358097,87.56602924543239,43.7830146227162,21.891507311358097,65.67452193407429,0.0,5221.124493758906,4391.436366658434,0.2189150731135809,0.0,2,0.4676780017,1.0,15.0,5.0,9.0,7.0,200.76298320000006,2.0,-1.0,0.0,-1.0,0.0,-4.0,-1.0,0.0,6.0,1.0,3.0,37.900000000000006,10.0
3890259,5,4,0,4,home_leading,home,Bayern Munich,Hamburger SV,5,0,home_win,1,840.3559999999998,0.284194117,0.0,122.0,27.0,10.0,13.0,95.0,7.0,23.0,5.0,2.0,0.0,4.0,0.0,3.0,0.0,2420.3287266,843.635289,3.0,4.0,2.0,2.0,0.0,2.0,16.0,41.0,3.0,2.0,4.0,2.0,4.0,9.0,16.0,5.0,5.0,0.0,779.0999999999999,637.1999999999999,10.0,3.0,1.8261882247523675,0.0,19.27754427885325,0.0,783.9534673400323,173.4978985096793,64.25848092951084,83.5360252083641,610.455568830353,44.98093665065759,147.79450613787495,32.12924046475542,15552.664732137337,5421.072212966887,12.851696185902169,0.0,25.703392371804338,0.0,19.27754427885325,25.703392371804338,12.851696185902169,12.851696185902169,0.0,12.851696185902169,102.81356948721736,263.4597718109945,19.27754427885325,12.851696185902169,25.703392371804338,12.851696185902169,25.703392371804338,57.83263283655976,102.81356948721736,32.12924046475542,32.12924046475542,0.0,5006.378249218189,4094.550404828431,64.25848092951084,19.27754427885325,1.8261882247523675,0.0,19.27754427885325,0.0,78.39534673400323,17.34978985096793,6.425848092951084,8.353602520836409,61.045556883035296,4.498093665065759,14.779450613787494,3.2129240464755418,15.552664732137334,5.421072212966887,12.851696185902169,0.0,25.703392371804338,0.0,19.27754427885325,25.703392371804338,12.851696185902169,12.851696185902169,0.0,12.851696185902169,102.81356948721736,263.4597718109945,1.9277544278853247,1.2851696185902168,25.703392371804338,12.851696185902169,25.703392371804338,57.83263283655976,102.81356948721736,32.12924046475542,32.12924046475542,0.0,5006.378249218189,4094.550404828431,0.0642584809295108,0.0192775442788532,2,0.284194117,3.0,95.0,-3.0,88.0,18.0,1576.6934376000004,2.0,4.0,-1.0,0.0,-2.0,-25.0,1.0,2.0,-5.0,11.0,5.0,141.89999999999998,7.0
3890259,6,5,0,5,home_leading,none,Bayern Munich,Hamburger SV,5,0,home_win,1,228.09399999999917,0.074941999,0.0,35.0,4.0,4.0,2.0,26.0,2.0,7.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,546.0213647,137.1889035,0.0,0.0,0.0,0.0,0.0,0.0,3.0,13.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,0.0,169.79999999999998,131.10000000000002,5.0,1.0,1.7742106087841043,0.0,47.34890001490632,0.0,828.6057502608604,94.69780002981264,94.69780002981264,47.34890001490632,615.5357001937821,47.34890001490632,165.7211500521721,0.0,12926.7555015915,3247.871837488065,47.34890001490632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.02335002235948,307.76785009689104,23.67445000745316,47.34890001490632,0.0,0.0,0.0,0.0,47.34890001490632,71.02335002235948,47.34890001490632,0.0,4019.921611265546,3103.720395977109,118.3722500372658,23.67445000745316,1.7742106087841043,0.0,47.34890001490632,0.0,82.86057502608604,9.469780002981263,9.469780002981263,4.734890001490632,61.553570019378206,4.734890001490632,16.57211500521721,0.0,12.9267555015915,3.247871837488065,47.34890001490632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.02335002235948,307.76785009689104,2.367445000745316,4.734890001490632,0.0,0.0,0.0,0.0,47.34890001490632,71.02335002235948,47.34890001490632,0.0,4019.921611265546,3103.720395977109,0.1183722500372657,0.0236744500074531,1,0.074941999,2.0,31.0,2.0,24.0,7.0,408.8324612,2.0,0.0,0.0,0.0,0.0,-10.0,-1.0,0.0,0.0,-1.0,2.0,38.69999999999996,4.0
3890260,1,0,0,0,draw,away,Bayer Leverkusen,Hoffenheim,2,1,home_win,1,289.015,0.0,0.0,30.0,18.0,10.0,7.0,18.0,9.0,9.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,548.7102729999999,355.87131610000006,1.0,2.0,0.0,2.0,0.0,0.0,10.0,15.0,1.0,2.0,1.0,2.0,0.0,0.0,4.0,4.0,2.0,1.0,305.29999999999995,231.5,5.0,2.0,0.0,0.0,0.0,0.0,560.524540248776,336.3147241492656,186.8415134162587,130.78905939138107,336.3147241492656,168.1573620746328,168.1573620746328,74.73660536650347,10252.185783436844,6649.153528155979,18.684151341625867,18.684151341625867,18.684151341625867,18.684151341625867,18.684151341625867,37.36830268325173,0.0,37.36830268325173,0.0,0.0,186.8415134162587,280.262270124388,18.684151341625867,37.36830268325173,18.684151341625867,37.36830268325173,0.0,0.0,74.73660536650347,74.73660536650347,37.36830268325173,18.684151341625867,5704.271404598377,4325.381035586388,93.42075670812936,37.36830268325173,0.0,0.0,0.0,0.0,56.052454024877605,33.63147241492656,18.68415134162587,13.078905939138108,33.63147241492656,16.81573620746328,16.81573620746328,7.473660536650347,10.252185783436843,6.64915352815598,18.684151341625867,18.684151341625867,18.684151341625867,18.684151341625867,18.684151341625867,37.36830268325173,0.0,37.36830268325173,0.0,0.0,186.8415134162587,280.262270124388,1.8684151341625868,3.7368302683251735,18.684151341625867,37.36830268325173,0.0,0.0,74.73660536650347,74.73660536650347,37.36830268325173,18.684151341625867,5704.271404598377,4325.381035586388,0.0934207567081293,0.0373683026832517,0,0.0,0.0,12.0,3.0,9.0,5.0,192.83895689999986,0.0,0.0,-1.0,-2.0,0.0,-5.0,-1.0,-1.0,0.0,0.0,1.0,73.79999999999995,3.0
3890260,2,0,1,-1,away_leading,home,Bayer Leverkusen,Hoffenheim,2,1,home_win,1,2374.5750000000003,0.990237751,0.4331234149999999,220.0,126.0,66.0,54.0,111.0,52.0,41.0,30.0,8.0,5.0,9.0,5.0,10.0,4.0,4787.3197445,3485.6352942,7.0,12.0,5.0,10.0,3.0,1.0,67.0,79.0,10.0,16.0,8.0,6.0,5.0,2.0,33.0,20.0,13.0,12.0,2568.8,2374.3,46.0,27.0,2.251890909067938,0.9849621262752282,22.74091153153722,9.09636461261489,500.3000536938189,286.535485297369,150.09001610814565,122.800922270301,252.4241180000632,118.25273996399356,93.2377372793026,68.22273459461167,10886.801478285586,7926.652385660592,18.19272922522978,11.37045576576861,20.4668203783835,11.37045576576861,15.918638072076057,27.289093837844664,11.37045576576861,22.74091153153722,6.822273459461166,2.2740911531537225,152.36410726129938,179.65320109914404,22.74091153153722,36.38545845045956,18.19272922522978,13.644546918922332,11.37045576576861,4.548182306307445,75.04500805407282,45.48182306307444,29.563184990998387,27.289093837844664,5841.685354221282,5399.374624932883,104.60819304507125,61.4004611351505,2.251890909067938,0.9849621262752282,22.74091153153722,9.09636461261489,50.03000536938189,28.653548529736906,15.009001610814565,12.2800922270301,25.24241180000632,11.825273996399355,9.32377372793026,6.822273459461167,10.886801478285586,7.926652385660592,18.19272922522978,11.37045576576861,20.4668203783835,11.37045576576861,15.918638072076057,27.289093837844664,11.37045576576861,22.74091153153722,6.822273459461166,2.2740911531537225,152.36410726129938,179.65320109914404,2.274091153153722,3.638545845045956,18.19272922522978,13.644546918922332,11.37045576576861,4.548182306307445,75.04500805407282,45.48182306307444,29.563184990998387,27.289093837844664,5841.685354221282,5399.374624932883,0.1046081930450712,0.0614004611351505,2,0.5571143360000002,6.0,94.0,12.0,59.0,11.0,1301.6844502999998,3.0,4.0,-5.0,-5.0,2.0,-12.0,-6.0,2.0,3.0,13.0,1.0,194.5,19.0
3890260,3,1,1,0,draw,home,Bayer Leverkusen,Hoffenheim,2,1,home_win,1,1649.505,1.5616073740000005,0.090838,122.0,114.0,45.0,41.0,53.0,60.0,18.0,25.0,7.0,2.0,15.0,6.0,8.0,2.0,3082.9961142,2745.0343227000003,8.0,8.0,5.0,3.0,4.0,1.0,49.0,62.0,6.0,10.0,2.0,4.0,16.0,5.0,18.0,19.0,17.0,5.0,1693.7,1763.1,41.0,18.0,5.1122487167968576,0.2973772131639491,26.189675084343484,6.547418771085871,399.3925450362381,373.2028699518946,147.31692234943208,134.22208480726036,173.50659743377557,196.42256313257613,58.92676893977283,81.84273463857338,10092.83331464894,8986.444625860486,22.915965698800548,6.547418771085871,49.10564078314403,19.64225631325761,26.189675084343484,26.189675084343484,16.368546927714675,9.821128156628806,13.094837542171742,3.273709385542936,160.41175989160382,202.969981903662,19.64225631325761,32.73709385542935,6.547418771085871,13.094837542171742,52.37935016868697,16.368546927714675,58.92676893977283,62.20047832531576,55.65305955422991,16.368546927714675,5544.681586294069,5771.877017650749,134.22208480726036,58.92676893977283,5.1122487167968576,0.2973772131639491,26.189675084343484,6.547418771085871,39.939254503623815,37.32028699518946,14.731692234943209,13.422208480726036,17.350659743377555,19.64225631325761,5.892676893977283,8.184273463857338,10.09283331464894,8.986444625860486,22.915965698800548,6.547418771085871,49.10564078314403,19.64225631325761,26.189675084343484,26.189675084343484,16.368546927714675,9.821128156628806,13.094837542171742,3.273709385542936,160.41175989160382,202.969981903662,1.964225631325761,3.273709385542935,6.547418771085871,13.094837542171742,52.37935016868697,16.368546927714675,58.92676893977283,62.20047832531576,55.65305955422991,16.368546927714675,5544.681586294069,5771.877017650749,0.1342220848072603,0.0589267689397728,2,1.4707693740000005,6.0,8.0,4.0,-7.0,-7.0,337.9617914999999,5.0,9.0,0.0,2.0,3.0,-13.0,-4.0,-2.0,11.0,-1.0,12.0,-69.39999999999986,23.0
3890260,4,2,1,1,home_leading,none,Bayer Leverkusen,Hoffenheim,2,1,home_win,1,1351.9409999999998,0.8874755999999999,0.0,93.0,73.0,34.0,17.0,40.0,41.0,22.0,16.0,2.0,1.0,7.0,3.0,7.0,0.0,2081.1238838,1577.5431073999998,6.0,9.0,6.0,5.0,3.0,0.0,31.0,54.0,1.0,9.0,3.0,7.0,16.0,22.0,16.0,8.0,6.0,3.0,1221.9,1047.0,21.0,6.0,3.5448057570559666,0.0,27.9598000208589,0.0,371.46591456283966,291.5807716461,135.80474295845752,67.90237147922876,159.77028583347942,163.76454297931642,87.87365720841369,63.90811433339177,8312.543944240171,6301.1128295983335,7.9885142916739715,3.9942571458369858,27.9598000208589,11.98277143751096,23.96554287502192,35.94831431253287,23.96554287502192,19.971285729184928,11.98277143751096,0.0,123.82197152094656,215.68988587519723,3.9942571458369858,35.94831431253287,11.98277143751096,27.9598000208589,63.90811433339177,87.87365720841369,63.90811433339177,31.95405716669589,23.96554287502192,11.98277143751096,4880.582806498213,4181.987231691324,83.8794000625767,23.96554287502192,3.5448057570559666,0.0,27.9598000208589,0.0,37.14659145628397,29.15807716461,13.580474295845752,6.790237147922876,15.97702858334794,16.37645429793164,8.787365720841368,6.390811433339177,8.312543944240172,6.301112829598334,7.9885142916739715,3.9942571458369858,27.9598000208589,11.98277143751096,23.96554287502192,35.94831431253287,23.96554287502192,19.971285729184928,11.98277143751096,0.0,123.82197152094656,215.68988587519723,0.3994257145836986,3.5948314312532874,11.98277143751096,27.9598000208589,63.90811433339177,87.87365720841369,63.90811433339177,31.95405716669589,23.96554287502192,11.98277143751096,4880.582806498213,4181.987231691324,0.0838794000625767,0.0239655428750219,1,0.8874755999999999,7.0,20.0,17.0,-1.0,6.0,503.5807764000001,1.0,4.0,-3.0,1.0,3.0,-23.0,-8.0,-4.0,-6.0,8.0,3.0,174.9000000000001,15.0
