match_id,match_outcome,home_team,home_goals,home_xg,home_shots,home_passes,home_pressuredpasses,home_pressureddribbles,home_highpasses,home_groundpasses,home_pass_length,home_crosses,home_dribbles,home_tackles,home_tackles_success,home_interceptions,home_pressures,home_blocks,home_fouls,home_counterattacks,home_passes_att3rd,home_passes_scorebox,home_vertical_passing_dist,home_actions_scorebox,away_team,away_goals,away_xg,away_shots,away_passes,away_pressuredpasses,away_pressureddribbles,away_highpasses,away_groundpasses,away_pass_length,away_crosses,away_dribbles,away_tackles,away_tackles_success,away_interceptions,away_pressures,away_blocks,away_fouls,away_counterattacks,away_passes_att3rd,away_passes_scorebox,away_vertical_passing_dist,away_actions_scorebox,xg_diff,shots_diff,passes_diff,highpasses_diff,groundpasses_diff,pressuredpasses_diff,pass_length_diff,crosses_diff,dribbles_diff,tackles_diff,tackles_success_diff,interceptions_diff,pressures_diff,blocks_diff,fouls_diff,counterattacks_diff,passes_att3rd_diff,passes_scorebox_diff,vertical_passing_dist_diff,actions_scorebox_diff,goals_diff,home_xg_scaled,away_xg_scaled,home_shots_scaled,away_shots_scaled,home_passes_scaled,away_passes_scaled,home_highpasses_scaled,away_highpasses_scaled,home_groundpasses_scaled,away_groundpasses_scaled,home_pressuredpasses_scaled,away_pressuredpasses_scaled,home_pass_length_scaled,away_pass_length_scaled,home_crosses_scaled,away_crosses_scaled,home_dribbles_scaled,away_dribbles_scaled,home_tackles_scaled,away_tackles_scaled,home_tackles_success_scaled,away_tackles_success_scaled,home_interceptions_scaled,away_interceptions_scaled,home_pressures_scaled,away_pressures_scaled,home_blocks_scaled,away_blocks_scaled,home_fouls_scaled,away_fouls_scaled,home_counterattacks_scaled,away_counterattacks_scaled,home_passes_att3rd_scaled,away_passes_att3rd_scaled,home_passes_scorebox_scaled,away_passes_scorebox_scaled,home_vertical_passing_dist_scaled,away_vertical_passing_dist_scaled,home_actions_scorebox_scaled,away_actions_scorebox_scaled,outcome_ordered
3890423,home_win,VfB Stuttgart,2,2.386916929,25,411,79,23,117,221,9064.9896075,20,23,16,11,10,190,28,14,35,61,43,5052.3,123,Hamburger SV,1,1.36792936,12,494,102,21,137,279,11238.7158181,9,21,17,6,10,172,24,13,13,68,23,6055.2,54,1.018987569,13,-83,-20,-58,-23,-2173.7262106,11,2,-1,5,0,18,4,1,22,-7,20,-1002.8999999999996,69,1,2.386916929,1.36792936,25.0,12.0,41.1,49.4,11.7,13.7,22.1,27.9,7.9,10.2,9.0649896075,11.2387158181,20.0,9.0,23.0,21.0,16.0,17.0,11.0,6.0,10.0,10.0,190.0,172.0,2.8,2.4,14.0,13.0,35.0,13.0,61.0,68.0,43.0,23.0,5052.3,6055.2,0.123,0.054,2
3890424,away_win,Darmstadt 98,0,0.1559246199999999,6,286,64,7,173,74,7064.4104244,6,7,19,13,10,183,25,14,37,71,30,4998.4,44,Schalke 04,2,1.181626191,11,440,105,17,139,240,9161.3657669,6,17,12,7,7,86,8,21,24,48,20,4977.3,57,-1.025701571,-5,-154,34,-166,-41,-2096.9553425000004,0,-10,7,6,3,97,17,-7,13,23,10,21.09999999999945,-13,-2,0.1559246199999999,1.181626191,6.0,11.0,28.6,44.0,17.3,13.9,7.4,24.0,6.4,10.5,7.0644104244,9.1613657669,6.0,6.0,7.0,17.0,19.0,12.0,13.0,7.0,10.0,7.0,183.0,86.0,2.5,0.8,14.0,21.0,37.0,24.0,71.0,48.0,30.0,20.0,4998.4,4977.3,0.044,0.057,0
3890425,draw,Werder Bremen,3,2.648970133,16,484,59,23,110,319,10650.8769632,11,23,25,11,10,166,15,22,26,64,32,5333.2,86,Hertha Berlin,3,0.833376599,11,460,86,16,106,304,9448.9558289,13,16,23,17,8,147,18,18,32,41,27,4978.7,62,1.815593534,5,24,4,15,-27,1201.9211343000006,-2,7,2,-6,2,19,-3,4,-6,23,5,354.5,24,0,2.648970133,0.833376599,16.0,11.0,48.4,46.0,11.0,10.6,31.9,30.4,5.9,8.6,10.6508769632,9.4489558289,11.0,13.0,23.0,16.0,25.0,23.0,11.0,17.0,10.0,8.0,166.0,147.0,1.5,1.8,22.0,18.0,26.0,32.0,64.0,41.0,32.0,27.0,5333.2,4978.7,0.086,0.062,1
3890426,draw,Augsburg,0,0.579204896,7,435,75,7,133,213,11144.5302587,13,7,20,13,9,183,22,18,12,52,25,5921.0,55,Eintracht Frankfurt,0,1.304352476,12,449,96,20,137,234,10351.7339524,21,20,19,12,8,138,15,10,4,50,35,5560.4,84,-0.72514758,-5,-14,-4,-21,-21,792.7963063000007,-8,-13,1,1,1,45,7,8,8,2,-10,360.6000000000004,-29,0,0.579204896,1.304352476,7.0,12.0,43.5,44.9,13.3,13.7,21.3,23.4,7.5,9.6,11.1445302587,10.3517339524,13.0,21.0,7.0,20.0,20.0,19.0,13.0,12.0,9.0,8.0,183.0,138.0,2.2,1.5,18.0,10.0,12.0,4.0,52.0,50.0,25.0,35.0,5921.0,5560.4,0.055,0.084,1
3890427,home_win,Bayer Leverkusen,3,1.907045119,14,503,100,24,131,305,10968.3851987,10,24,15,13,13,163,29,11,16,65,34,5602.400000000001,106,Hannover 96,0,0.203165896,7,363,106,11,106,159,7800.7569903,8,11,27,14,10,204,26,25,8,42,19,5010.0,49,1.703879223,7,140,25,146,-6,3167.6282083999995,2,13,-12,-1,3,-41,3,-14,8,23,15,592.4000000000005,57,3,1.907045119,0.203165896,14.0,7.0,50.3,36.3,13.1,10.6,30.5,15.9,10.0,10.6,10.9683851987,7.8007569903,10.0,8.0,24.0,11.0,15.0,27.0,13.0,14.0,13.0,10.0,163.0,204.0,2.9,2.6,11.0,25.0,16.0,8.0,65.0,42.0,34.0,19.0,5602.400000000001,5010.0,0.106,0.049,2
3890428,home_win,Bayern Munich,2,2.9537803736,30,827,71,23,85,677,15626.8986377,21,23,10,6,9,143,13,11,35,83,45,5203.4,157,Hoffenheim,0,0.5755142400000001,5,291,54,12,93,157,7037.0406648,4,12,23,13,16,204,20,14,16,30,8,4451.0,22,2.3782661336,25,536,-8,520,17,8589.857972900001,17,11,-13,-7,-7,-61,-7,-3,19,53,37,752.3999999999996,135,2,2.9537803736,0.5755142400000001,30.0,5.0,82.7,29.1,8.5,9.3,67.7,15.7,7.1,5.4,15.6268986377,7.0370406648,21.0,4.0,23.0,12.0,10.0,23.0,6.0,13.0,9.0,16.0,143.0,204.0,1.3,2.0,11.0,14.0,35.0,16.0,83.0,30.0,45.0,8.0,5203.4,4451.0,0.157,0.022,2
3890429,draw,Wolfsburg,1,1.602881947,17,695,122,17,96,539,14197.6389991,17,17,13,7,6,116,14,13,18,66,36,5813.3,83,FC Köln,1,0.8591617811,11,339,67,9,102,195,8374.515815,7,9,22,14,17,223,18,11,56,46,26,4861.5,46,0.7437201659,6,356,-6,344,55,5823.123184099999,10,8,-9,-7,-11,-107,-4,2,-38,20,10,951.8000000000002,37,0,1.602881947,0.8591617811,17.0,11.0,69.5,33.9,9.6,10.2,53.9,19.5,12.2,6.7,14.1976389991,8.374515815,17.0,7.0,17.0,9.0,13.0,22.0,7.0,14.0,6.0,17.0,116.0,223.0,1.4,1.8,13.0,11.0,18.0,56.0,66.0,46.0,36.0,26.0,5813.3,4861.5,0.083,0.046,1
3890430,home_win,Borussia Mönchengladbach,5,3.357856475,18,411,70,16,109,267,9031.4448809,5,16,22,12,6,197,29,15,28,55,16,5423.0,71,Werder Bremen,1,1.958161639,15,458,86,22,141,266,9601.303388,2,22,21,16,6,159,15,16,14,57,33,5324.9,80,1.3996948359999997,3,-47,-32,1,-16,-569.8585070999998,3,-6,1,-4,0,38,14,-1,14,-2,-17,98.10000000000036,-9,4,3.357856475,1.958161639,18.0,15.0,41.1,45.8,10.9,14.1,26.7,26.6,7.0,8.6,9.0314448809,9.601303388,5.0,2.0,16.0,22.0,22.0,21.0,12.0,16.0,6.0,6.0,197.0,159.0,2.9,1.5,15.0,16.0,28.0,14.0,55.0,57.0,16.0,33.0,5423.0,5324.9,0.071,0.08,2
3890431,draw,Bayer Leverkusen,0,0.286842782,6,316,69,17,132,123,7740.62756436,12,17,23,14,11,247,28,23,11,57,33,4889.5,55,Bayern Munich,0,0.860405002,9,532,122,25,122,325,12006.23806761,15,25,20,14,4,146,13,13,9,54,31,5630.7,56,-0.57356222,-3,-216,10,-202,-53,-4265.61050325,-3,-8,3,0,7,101,15,10,2,3,2,-741.1999999999998,-1,0,0.286842782,0.860405002,6.0,9.0,31.6,53.2,13.2,12.2,12.3,32.5,6.9,12.2,7.74062756436,12.00623806761,12.0,15.0,17.0,25.0,23.0,20.0,14.0,14.0,11.0,4.0,247.0,146.0,2.8,1.3,23.0,13.0,11.0,9.0,57.0,54.0,33.0,31.0,4889.5,5630.7,0.055,0.056,1
3890432,home_win,Schalke 04,3,0.621451985,15,361,66,20,84,224,7650.9479285,8,20,20,11,7,121,16,17,30,38,24,4150.6,43,Wolfsburg,0,0.740058013,14,522,61,20,98,376,11751.8644833,14,20,16,10,8,186,27,15,7,46,38,4669.6,61,-0.1186060279999999,1,-161,-14,-152,5,-4100.9165548,-6,0,4,1,-1,-65,-11,2,23,-8,-14,-519.0,-18,3,0.621451985,0.740058013,15.0,14.0,36.1,52.2,8.4,9.8,22.4,37.6,6.6,6.1,7.6509479285,11.7518644833,8.0,14.0,20.0,20.0,20.0,16.0,11.0,10.0,7.0,8.0,121.0,186.0,1.6,2.7,17.0,15.0,30.0,7.0,38.0,46.0,24.0,38.0,4150.6,4669.6,0.043,0.061,2
